,ID,lat,lon,start_date,incident name,fully_contained,geographic_area,new,size,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,rain,weather,weather_description
227,19686,42.38,-71.518,4/19/2023 12:00:00 AM,Queens_River,c,EACC,y,576.0,282.66,282.42,1010,60,275.29,83,,1.34,250,,Clouds,broken clouds
228,19687,42.492,-71.652,4/21/2023 12:00:00 AM,Delta_Range,c,EACC,y,215.0,284.97,283.36,1028,44,273.13,0,10000.0,2.57,360,,Clear,clear sky
229,19688,36.04,-105.165,4/23/2023 12:00:00 AM,100_Mile_Pasture,c,SWC,y,464.0,281.48,278.81,1013,42,269.77,82,,4.62,147,,Clouds,broken clouds
230,19689,38.293,-103.143,4/19/2023 12:00:00 AM,County_Road_19,c,RMC,y,365.0,301.65,300.18,992,5,259.94,0,,8.24,230,,Clear,clear sky
231,19690,39.211,-96.673,3/15/2023 12:00:00 AM,Hidden_Valley,c,RMC,y,400.0,284.72,282.95,1019,39,271.47,0,10000.0,7.72,180,,Clear,clear sky
232,19691,39.57,-96.589,4/16/2023 12:00:00 AM,Blue_River,c,RMC,y,650.0,282.9,279.52,1017,54,274.05,55,,7.91,331,,Clouds,broken clouds
233,19692,40.211,-109.859,4/23/2023 12:00:00 AM,Red_Bridge,c,GBC,y,465.0,282.65,280.84,1015,43,270.99,68,,3.39,318,,Clouds,broken clouds
234,19696,31.428,-102.556,4/30/2023 12:00:00 AM,Sand_Dunes,c,SAC,y,347.0,300.34,299.22,1014,14,270.86,0,,2.99,301,,Clear,clear sky
235,19697,33.196,-89.651,5/2/2023 12:00:00 AM,Co_Rd_3221,c,SAC,y,125.0,292.74,291.93,1010,45,280.5,0,,2.14,254,,Clear,clear sky
236,19698,30.414,-81.97,4/20/2023 12:00:00 AM,COUNTY_ROAD_121,c,SAC,,1053.0,295.67,295.52,1020,59,287.26,98,,2.51,89,,Clouds,overcast clouds
237,19699,36.754,-96.021,4/24/2023 12:00:00 AM,RADAR_HILL,c,SAC,,425.0,289.16,287.47,1021,25,269.61,0,10000.0,2.57,90,,Clear,clear sky
238,19700,35.023,-96.582,4/18/2023 12:00:00 AM,SWINE,c,SAC,,1364.0,296.99,296.32,1011,34,280.2,2,,5.6,177,,Clear,clear sky
239,19701,36.114,-95.042,4/23/2023 12:00:00 AM,Aggie_Flats,c,SAC,,105.0,284.22,282.56,1020,45,272.8,98,,2.0,351,,Clouds,overcast clouds
240,19702,36.03,-94.742,4/23/2023 12:00:00 AM,Grey_Squirrel_Hollow,c,SAC,,250.0,284.42,282.78,1020,45,272.96,99,,2.32,334,,Clouds,overcast clouds
241,19703,36.116,-95.075,4/24/2023 12:00:00 AM,North_Side,c,SAC,,240.0,287.84,286.25,1020,34,272.27,0,,1.43,16,,Clear,clear sky
242,19704,26.954,-81.112,4/24/2023 12:00:00 AM,CURRY_ISLAND,c,SAC,,400.0,300.51,301.87,1012,62,292.59,33,,3.96,66,,Clouds,scattered clouds
243,19709,38.635,-79.368,4/19/2023 12:00:00 AM,Lankey_Mountain,c,EACC,,1370.0,287.34,285.57,1011,29,269.98,0,,4.34,270,,Clear,clear sky
244,19712,35.84,-104.798,5/1/2023 12:00:00 AM,Marsh,c,SWC,y,1678.0,294.49,292.99,1009,12,264.96,0,,6.44,113,,Clear,clear sky
245,19713,34.207,-107.526,4/20/2023 12:00:00 AM,ANTELOPE_FLATS,c,SWC,,939.0,290.73,288.88,1006,13,263.22,0,,10.44,261,,Clear,clear sky
246,19715,38.099,-103.081,4/19/2023 12:00:00 AM,Gageby_Creek,c,RMC,,4618.0,302.37,300.75,993,6,262.42,0,,8.26,231,,Clear,clear sky
247,19720,47.158,-95.928,5/3/2023 12:00:00 AM,Hwy_59,c,EACC,,437.0,288.72,287.01,1014,26,269.74,0,10000.0,7.2,360,,Clear,clear sky
248,19721,48.461,-95.819,5/3/2023 12:00:00 AM,SE_Thief,c,EACC,,1702.0,289.6,288.03,1014,28,271.3,7,,3.17,329,,Clear,clear sky
249,19722,44.869,-96.387,5/1/2023 12:00:00 AM,Pearson,c,EACC,,390.0,284.75,283.25,1012,49,274.41,75,10000.0,11.83,310,,Clouds,broken clouds
250,19723,33.297,-105.301,5/3/2023 12:00:00 AM,PARK,c,SWC,,1200.0,294.13,293.07,1010,30,275.91,90,,0.92,182,,Clouds,overcast clouds
251,19724,35.469,-104.9,5/4/2023 12:00:00 AM,Big_Tank,c,SWC,,1181.0,295.72,294.69,1005,25,274.72,98,,6.2,191,0.25,Rain,light rain
252,19725,41.882,-100.404,5/4/2023 12:00:00 AM,Natick,c,RMC,,1849.0,297.68,296.84,1009,25,276.38,0,10000.0,7.2,170,,Clear,clear sky
253,19727,35.055,-76.612,5/6/2023 12:00:00 AM,Nursery_Lane,c,SAC,y,455.0,290.93,290.75,1022,76,286.65,45,,2.15,142,,Clouds,scattered clouds
254,19728,35.094,-79.635,5/7/2023 12:00:00 AM,NC-NCS-230023,c,SAC,y,444.0,295.68,295.27,1021,49,284.44,0,10000.0,2.06,240,,Clear,clear sky
255,19731,29.105,-81.102,5/3/2023 12:00:00 AM,ORANGE_HAMMOCK,,SAC,,562.0,298.55,298.37,1009,47,286.43,40,10000.0,7.72,240,,Clouds,scattered clouds
256,19732,48.427,-95.969,4/30/2023 12:00:00 AM,Berg,,EACC,,1728.0,281.29,278.69,1012,68,275.75,49,,4.37,356,0.56,Rain,light rain
257,19738,47.943,-96.578,5/5/2023 12:00:00 AM,Euclid,c,EACC,,450.0,294.04,292.92,1009,28,274.87,0,10000.0,5.66,50,,Clear,clear sky
